Time,k,d,n_init,n_ter,seed,n_folds,total_correct,out_of,percent_correct,train_score_T,train_score_B,avg_correct_T,avg_correct_B,model,infolder,result_folder
Sat Mar 24 14:40:08 2018,4,5,3,40,0,5,7,20,35,-2514.857182,-2405.892526,20,50,lstmHmm,input_sequences/subset_data,15219167762
Sat Mar 24 14:40:47 2018,4,5,3,40,0,5,6,20,30,-7675.4194,-8201.603938,20,40,hmm,input_sequences/subset_data,1.52192E+11
