Time,k,d,n_init,max_iter,seed,n_folds,total_correct,out_of,percent_correct,train_score_T,train_score_B,avg_correct_T,avg_correct_B,model,infolder,result_folder,
Thu Apr 12 10:22:58 2018,4,25,5,400,2222,5,83,151,54.94623656,-128073.1504,-146507.1882,60,49.75,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152353450509,0.519965733
Thu Apr 12 12:26:46 2018,4,25,5,400,3333,5,86,151,56.90322581,-110216.6938,-123401.4734,50.66666667,62.91666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152354643757,0.575116831
Thu Apr 12 12:58:02 2018,6,25,5,400,2222,5,81,151,53.56989247,-84470.5854,-97375.27107,62.66666667,44.5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152354638133,0.484929694
Thu Apr 12 23:18:16 2018,4,25,5,400,4444,5,89,151,58.90322581,-131148.6015,-144224.513,70.66666667,47.25,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152356579169,0.520686753
Fri Apr 13 00:43:20 2018,6,25,5,400,3333,5,75,151,49.67741935,-106806.1296,-119588.8193,65.33333333,34.16666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152356536324,0.399449735
Fri Apr 13 00:49:55 2018,4,5,5,400,4444,5,80,151,52.98924731,-10305.13195,-10274.7216,49.33333333,56.58333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152358961736,0.551378792
Fri Apr 13 01:47:58 2018,4,25,5,400,4444,5,84,151,55.5483871,-109886.4568,-124120.2696,58.66666667,52.33333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152359468838,0.523235584
Fri Apr 13 04:18:57 2018,4,5,5,400,4444,5,85,151,56.34408602,-30792.6042,-34609.16953,66.66666667,46.41666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152356536304,0.477774651
Fri Apr 13 04:31:10 2018,5,25,5,400,4444,5,90,151,59.56989247,-117974.4896,-128692.6268,65.33333333,53.66666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152359875031,0.56047619
Fri Apr 13 05:28:25 2018,5,25,5,400,4444,5,79,151,52.30107527,-95616.91156,-108727.5646,58.66666667,45.75,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152360837292,0.480430298
