time,k,model,infolder,seed,result_folder,n_folds,top_100_percent,top_90_percent,top_80_percent,top_70_percent,top_60_percent,top_50_percent,top_40_percent,top_30_percent,top_20_percent,top_10_percent,10_better_100,top_100_percentT,top_90_percentT,top_80_percentT,top_70_percentT,top_60_percentT,top_50_percentT,top_40_percentT,top_30_percentT,top_20_percentT,top_10_percentT,10_better_100T,top_100_percentB,top_90_percentB,top_80_percentB,top_70_percentB,top_60_percentB,top_50_percentB,top_40_percentB,top_30_percentB,top_20_percentB,top_10_percentB,10_better_100B,top_100_f1_score,top_90_f1_score,top_80_f1_score,top_70_f1_score,top_60_f1_score,top_50_f1_score,top_40_f1_score,top_30_f1_score,top_20_f1_score,top_10_f1_score,log_p_train_T,log_p_train_B,log_p_test_T,log_p_test_B,p_train_T,p_train_B,p_test_T,p_test_B,std_log_p_train_T,std_log_p_train_B,std_log_p_test_T,std_log_p_test_B,std_p_train_T,std_p_train_B,std_p_test_T,std_p_test_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:16:15 2018,4,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,1111,results/152344984799,5,52.34408602,52.59259259,55.83333333,60,60,60,61.66666667,60,60,53.33333333,TRUE,61.33333333,65.16483516,69.70862471,75.75135975,80.17316017,78.97619048,81.50793651,76.95238095,88,91.66666667,TRUE,43.33333333,40.43956044,40.47785548,40.42424242,37.17171717,39.84126984,41,38.66666667,21.66666667,12.5,FALSE,0.47826087,0.466666667,0.485436893,0.511627907,0.5,0.516129032,0.530612245,0.470588235,0.4,0.222222222,-2135.492017,-2388.849597,-2207.571202,-2448.020524,1.31E-116,3.96E-133,1.39E-125,2.44E-154,1096.278224,1166.40928,1152.504043,1161.589229,2.26E-115,6.90E-132,1.20E-124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:17:48 2018,4,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,1111,results/152346488756,5,55.5483871,56.2962963,54.16666667,57.14285714,55.55555556,56,58.33333333,60,63.33333333,66.66666667,TRUE,68,68.46153846,64.98834499,71.47474747,72.26190476,73.33333333,74.66666667,73.66666667,86.66666667,100,TRUE,43,43.84615385,41.93473193,43.24242424,42.42424242,43.61111111,43.80952381,51,50,50,TRUE,0.496240602,0.504201681,0.476190476,0.516129032,0.512195122,0.52173913,0.528301887,0.590909091,0.620689655,0.666666667,-1820.796804,-2135.010428,-1904.364095,-2171.838945,6.05E-127,3.51E-193,5.87E-128,4.19E-227,967.7042009,1055.887971,1060.076449,1069.003661,1.02E-125,0,5.05E-127,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:19:25 2018,6,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,0,results/152342006242,5,57.07526882,60.74074074,59.16666667,58.0952381,57.77777778,54.66666667,55,57.77777778,56.66666667,40,FALSE,50.66666667,54.65201465,52.24708625,51.31779332,49.22222222,42.78571429,47.42857143,48.33333333,48.33333333,20,FALSE,63.66666667,65.92673993,66.07892108,66.48484848,67.11111111,64.56349206,61.21428571,57.71428571,58.66666667,50,FALSE,0.596273292,0.639455782,0.625954198,0.607142857,0.62745098,0.613636364,0.608695652,0.641509434,0.628571429,0.526315789,202.5414728,187.740889,158.239096,155.5913228,inf,inf,inf,inf,332.3400574,519.5231758,328.8478766,554.9439685,nan,nan,nan,3.06E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:20:58 2018,4,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,1111,results/15234465405,5,64.94623656,65.18518519,66.66666667,66.66666667,65.55555556,65.33333333,66.66666667,73.33333333,63.33333333,66.66666667,TRUE,65.33333333,66.46520147,71.02097902,70.55555556,68.11688312,69.56349206,73.5,87.14285714,75,83.33333333,TRUE,64.66666667,64.00732601,62.997003,62.22222222,62.38961039,57.53968254,58.57142857,61.33333333,52.66666667,56.66666667,FALSE,0.649006623,0.656934307,0.672131148,0.672897196,0.666666667,0.638888889,0.655172414,0.714285714,0.666666667,0.705882353,-480.2796309,-507.756899,-484.8541829,-511.8493422,1.71E-27,2.71E-17,1.29E-27,3.73E-16,265.2733146,369.7350005,266.1338163,379.6555854,2.69E-26,3.01E-16,1.11E-26,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:22:33 2018,5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,1111,results/152346650052,5,54.96774194,57.03703704,58.33333333,58.0952381,56.66666667,58.66666667,56.66666667,60,66.66666667,73.33333333,TRUE,41.33333333,44.28571429,44,44.70707071,46.44444444,46.9047619,44.28571429,49.66666667,56.66666667,66.66666667,TRUE,68.58333333,69.78021978,69.56043956,68.75757576,67.27777778,69.96031746,67.71428571,64.66666667,69.66666667,73.33333333,TRUE,0.604651163,0.623376623,0.647887324,0.633333333,0.606060606,0.635294118,0.617647059,0.64,0.736842105,0.818181818,68.6292764,43.28275467,54.95530341,-22.01901526,inf,inf,inf,inf,363.770047,576.2609386,381.1212931,788.2588739,nan,nan,nan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:24:04 2018,5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,1111,results/152347394956,5,55.50537634,54.07407407,57.5,59.04761905,58.88888889,56,48.33333333,44.44444444,50,40,FALSE,68,67.43589744,72.86713287,79.57070707,80.89466089,75.80952381,76.76190476,83.33333333,95,83.33333333,TRUE,43.16666667,39.01098901,41.67832168,40.37606838,41.52958153,41.77777778,30.57142857,20,28,6.666666667,FALSE,0.496240602,0.456140351,0.504854369,0.516853933,0.53164557,0.52173913,0.392156863,0.285714286,0.4,0.181818182,-1604.471603,-1841.910242,-1684.389353,-1879.270954,3.48E-108,5.37E-183,1.10E-108,7.92E-201,849.7056636,927.363839,934.1464334,947.0320721,6.00E-107,0,9.44E-108,6.55E-131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:25:36 2018,6,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,1111,results/152348337505,5,52.30107527,56.2962963,56.66666667,57.14285714,56.66666667,54.66666667,51.66666667,55.55555556,53.33333333,60,TRUE,64,68.15018315,68.57342657,73.11111111,72.47619048,71.71428571,69.61904762,76.66666667,75,83.33333333,TRUE,40.75,45.15750916,46.42191142,42.57575758,43.41414141,41.14285714,40.12698413,50.5,52,63.33333333,TRUE,0.462686567,0.512396694,0.527272727,0.516129032,0.506329114,0.484848485,0.452830189,0.523809524,0.533333333,0.666666667,-1421.373935,-1694.671978,-1504.842278,-1718.722769,2.24E-110,4.75E-63,4.32E-113,7.57E-132,836.8407272,978.9561929,933.7148916,1013.181158,3.87E-109,8.26E-62,3.71E-112,2.42E-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:27:09 2018,6,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,1111,results/152347712613,5,56.25806452,56.2962963,59.16666667,59.04761905,62.22222222,61.33333333,65,71.11111111,70,66.66666667,TRUE,60,59.19413919,62.35497835,62.23809524,63.29292929,65.5952381,72.14285714,79.33333333,90,100,TRUE,52.16666667,51.83882784,51.43589744,50.18426018,50.25641026,51.89393939,55.44444444,60.47619048,59,50,FALSE,0.547945205,0.556390977,0.581196581,0.59047619,0.622222222,0.641975309,0.686567164,0.754716981,0.727272727,0.705882353,-1782.885425,-2085.221633,-1870.886378,-2164.952517,9.86E-102,2.29E-104,1.57E-108,2.79E-150,982.7157466,1102.118742,1033.892946,1164.939497,1.69E-100,3.99E-103,1.35E-107,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:28:43 2018,6,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,1111,results/152347778744,5,53.69892473,57.03703704,56.66666667,57.14285714,57.77777778,57.33333333,61.66666667,62.22222222,53.33333333,53.33333333,FALSE,57.33333333,61.26373626,61.87412587,60.86324786,62.98412698,64.37301587,73.14285714,75,63.33333333,50,FALSE,50.16666667,53.86813187,51.14885115,53.75291375,54.36868687,51.78571429,53.78571429,55.57142857,50.33333333,53.33333333,TRUE,0.520547945,0.560606061,0.551724138,0.554455446,0.577777778,0.542857143,0.581818182,0.604651163,0.5625,0.631578947,206.8380332,205.0060923,191.4136766,143.7310373,inf,inf,inf,inf,331.5807207,519.8770341,358.3105164,748.6887326,nan,nan,nan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:30:17 2018,4,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,2222,results/15235345051,5,54.21505376,51.85185185,53.33333333,51.42857143,53.33333333,56,60,64.44444444,63.33333333,66.66666667,TRUE,57.33333333,53.73626374,54.76190476,52.04545455,54.64646465,55.5,50.6984127,44.9047619,72.5,77.77777778,TRUE,51,49.61172161,51.28571429,50.57342657,51.20634921,51.85714286,59.3968254,70.66666667,59,70.83333333,TRUE,0.530612245,0.518518519,0.525423729,0.523364486,0.543478261,0.56,0.625,0.703703704,0.685714286,0.736842105,-1838.591465,-2150.887338,-1937.422644,-2202.590409,1.94E-127,3.92E-214,1.29E-130,1.00E-232,973.5311414,1087.803968,1074.721395,1094.492558,3.36E-126,0,1.11E-129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
